company,role_title,interview_outcome,review_text,date
Amazon,Data Analyst,Got Offer,"Amazons interview process blends technical rigor (SQL, Excel, statistics, case studies) with behavioral evaluation based on Leadership Principles. Success depends on showing both analytical skill and strong communication aligned with Amazons culture.",2025-12-20
Amazon,Data Analyst,No Offer ,"The interview process at Amazon was thorough and challenging. It started with an initial phone screen focused on behavioral questions and data analytics fundamentals. The second round included technical assessments on SQL, Excel, and problem-solving using real-world data sets. Lastly, I had multiple rounds of interviews with team members and managers, where I was asked to explain complex data analysis, answer hypothetical business problems, and demonstrate proficiency in data visualization tools. Overall, the interview tested both technical skills and Amazon's leadership principles.",2024-09-19
Tesco,Data Analyst,No Offer ,"First stage was the assessment, It was a general iq test Second stage is online video HR interview. Followed by a technical interview later And then a interview with the manager",2024-11-22
Tesco,Data Analyst,No Offer ,"First HR , then you would have telephone technical round, then task assessment round (There would be questions on vba and sql ) , then technical round with lead (which would last about 1 hours ) and final ops round.",2024-08-07
Experian,Data Analyst,No Offer ,"Assessment: 1/. Image-based behavioural assessment - re working style behaviours 2/. Situational judgement qs - re judgement in workplace situations, and gives flavour of scenarios you may find yourself in at Experian 3/, Learnability - re ability to probelm solve and use new information you have learned. Interview - 3 or 4 questions regarding the why's of wanting to work there/ in the role/ and why you",2026-01-27
Experian,Data Analyst,Got Offer,"Two to one interview via video calling, consists back to back of 1 hour Competency questions and 1 hour Technical questions (analytical thinking and SQL based). Competency asks the standard questions e.g. difficult situation, why this job etc where you use the STAR structure to answer. Tech questions went through scenarios and how would you approach the task, as well as SQL coding skills.",2024-10-29
Xantura,Data Analyst,Got Offer,"Who: HR or Talent Acquisition (like Indi) Format: 2030 min phone or video call Focus: Confirm your experience (Python, SQL, Power BI, analytics projects) Understand your motivation, career goals, and availability Discuss interest in Xantura and social impact Basic logistics (salary expectations, notice period) Tip: Be ready to explain your current role and why you want a change, and highlight client-facing experience.",2026-01-21
Marks & Spencer,Data Analyst,No Offer ,"The process included two interview sessions, a phone interview followed by an invitation to their office for an in-person interview. Both interview formats consisted of competency-based questions and some more technical questions. I went to these interview rounds with Mark & Spencer, only to be completely ghosted afterwards. No rejection email, no feedback, just silence. It's disappointing to see such a lack of professionalism and respect for candidates. Candidates deserve better communication and transparency.",2025-03-20
ALDI,Data Analyst,No Offer ,"The interview process was extremely lengthy. A video recording interview, sql test then a teams meeting interview with one of the data managers in the team. The interview went smoothly but they ended up rejecting me didnt get any feedback as well.",2025-12-02
HM Revenue and Customs,Data Analyst,No Offer ,"online application, then take-home task (mine was about tax turnover and different company types related to it; I had to ask a question regarding it), then interview. There were three people on the panel.",2025-08-16
HM Revenue and Customs,Data Analyst,Got Offer,Interview process was about a presentation of data. I was given the data beforehand and asked to design a dashboard on Excel. I was also asked questions on other tools I could use. Probably the best interview I have had so far as I did not need to conform to the robotic star methodology.,2025-05-20
HM Revenue and Customs,Data Analyst,No Offer ,"A written application and completion of Civil Service Numerical and Verbal test. Interview was a face to face interview via Teams. The interview was a few experience questions, followed by a series of strength based questions.",2025-05-26
Deutsche Bank,Data Analyst,Got Offer,"There were two technical rounds in the interview process. The first round focused mainly on SQL, including queries, joins, and problem-solving using databases. The second round was competency-based, where I was assessed on problem-solving skills, analytical thinking, teamwork, and communication through situational and behavioral questions aligned with real workplace scenarios.",2025-08-19
Capita Bank,Data Analyst,Got Offer,"Initial screening Telephone call Video Interview: competency based Assessment Centre: Written exercise (2 hours to complete), Group Task (You will be in a group of 4-5 attendees with a member of the Capita team. This is a consensus decision making exercise. You will need paper and a pen for this task.)",2025-01-21
Capital one,Data Analyst,Got Offer,"Stage 1: Application screening Stage 2: Online Assessment Stage 3: Zoom Interview (Consist of two question: First what do you know about the role that you applied to and what are you bringing to the role, secondly a quantitative question based on simultaneous equation and weighted average ) Stage 4: Data Interview Stage 5: Final Stage case interview",2024-06-09
Capital one,Data Analyst,No Offer ,"Application
I applied online. The process took 4 weeks. I interviewed at Capital One (London, England) in Jan 2024
Interview
There were 5 interview rounds. 1. screening 2. mini case study: basic math problem 3. Data analysis group round : working on a dataset with others 4. Case study : 1 hour 5. Hiring Manager interview",2024-02-19
BBC,Data Analyst,Got Offer,"Fairly quick with 2 rounds of interviews. A first introduction call where you discuss your experience, background and fit within the company's values. Second call consists of a case-study where you have a couple days to submit data files and present your output, insights and recommendations.",2026-01-19
TikTok,Data Analyst,No Offer ,"The interview process consisted of an initial recruiter call, followed by a technical test (SQL hackerrank test), after which there were two more interviews with various members of the team",2024-09-10
Revolut,Data Analyst,No Offer ,"Screening call followed by a test on sql, python, math. The testing environment from the test provider is awful, you cannot test your code... similarly the python env doesnt read code (tested same code elsewhere and all worked:\",2024-05-29
Network Rail ,Data Analyst,Got Offer,"Setup by agency, was a contract role. 1 stage. Done via MS Teams, with hiring manager and team colleague. Asked further questions of various reporting tools I had used, then some generic questions about what I know about Network Rail.",2024-03-26
Holland & Barrett,Data Analyst,Got Offer,Initial task with Coderbyte with SQL based tasks. The assessment lasted 1 hour and also had other multiple choice questions. You cannot use other tabs or browsers during the assessment,2025-09-11
Holland & Barrett,Data Analyst,Got Offer,"Straightforward and short. First interview was with the hiring manager, after which I did a take home Excel test and then a final interview to discuss my answers in the test.",2024-08-15
Wise,Data Analyst,No Offer ,"Smooth, take home test, hr screen, and then 2 panel interview with the team. Friendly interviews start to finish feedback given, prompt responses from hr. standard hr questions, standard sql, python questions nothing too difficult.",2026-02-07
Wise,Data Analyst,No Offer ,"It took 1,5 month. It was too long but the HR was very helpful. I went through introduction meeting, SQL coding questions, Case Study, an interview with the senior stakeholders.",2024-04-05
Ebay,Data Analyst,No Offer ,"The eBay Data Analyst interview process typically involves multiple stages: Initial Screening: A phone interview focusing on your background and fit for the role. Technical Assessment: An SQL test to evaluate your data manipulation skills. On-Site Interviews: Meetings with team members, including coding interviews and behavioral questions.",2025-02-27
Medtronic,Data Analyst,Got Offer,"Two meetings, one with HR related to soft skills and second one with Hiring Manager. Three weren't any technical test or assignments. Only questions about previous experience and knowledge od SQL and PowerBI",2024-07-19
Severn Trent,Data Analyst,Got Offer,"The interview involved competency-based questions and a Power BI dashboard presentation, assessing my technical skills, data storytelling, problem-solving, and ability to deliver insights aligned with business needs. 1 interview only",2025-06-16
The AA,Data Analyst,No Offer ,"Two phase: Round 1: Intros, situation judgement, basic technical questions SQL, PBI, Excel, etc with hiring team Round 2: Take home technical exam. Simple to moderate difficulty. Final salary discussion",2025-11-03
Hastings Direct,Data Analyst,No Offer ,"Half an hour interview with manager - informal, asked about company and my ambitions Then take home case study and 90 min interview with two managers where I presented that and then was asked some behavioural questions",2025-04-11
Hastings Direct,Data Analyst,No Offer ,Very Simple... 3 rounds. 1. Testing Environment. (Numerical + Verbal + Logical reasoning) 2. Face to face interview with manager based on a pre completed mini project. 3. HR Round.,2025-02-24
ITV,Data Analyst,Got Offer,"A HR chat, chat with the team, a take home SQL task, then finally a presentation. However after the final interview i was ghosted for over a month and then got an offer after",2025-10-28
Standard Life plc,Data Analyst,No Offer ,"Two stage process. Initial HR screen over Teams, then a technical and competency interview with the hiring manager. Covered SQL and data problem solving. Straightforward and well organised. Heard back within a week.",2026-06-04
